prm,benchmark,card_id,product_steps,gm_steps,step_delta,product_correct,gm_correct
internlm2_7b_reward,gsm8k,gsm8k_internlm2_7b_reward_001,2,6,-4,True,True
internlm2_7b_reward,gsm8k,gsm8k_internlm2_7b_reward_002,3,4,-1,True,True
internlm2_7b_reward,gsm8k,gsm8k_internlm2_7b_reward_003,3,4,-1,True,True
internlm2_7b_reward,gsm8k,gsm8k_internlm2_7b_reward_004,2,3,-1,True,True
internlm2_7b_reward,gsm8k,gsm8k_internlm2_7b_reward_005,4,6,-2,True,True
internlm2_7b_reward,gsm8k,gsm8k_internlm2_7b_reward_006,2,3,-1,True,True
internlm2_7b_reward,gsm8k,gsm8k_internlm2_7b_reward_007,2,7,-5,True,True
internlm2_7b_reward,gsm8k,gsm8k_internlm2_7b_reward_008,2,4,-2,True,True
internlm2_7b_reward,gsm8k,gsm8k_internlm2_7b_reward_009,2,3,-1,True,True
internlm2_7b_reward,gsm8k,gsm8k_internlm2_7b_reward_010,4,5,-1,True,True
internlm2_7b_reward,gsm8k,gsm8k_internlm2_7b_reward_011,7,13,-6,True,False
internlm2_7b_reward,gsm8k,gsm8k_internlm2_7b_reward_012,2,3,-1,True,True
internlm2_7b_reward,gsm8k,gsm8k_internlm2_7b_reward_013,4,7,-3,True,True
internlm2_7b_reward,gsm8k,gsm8k_internlm2_7b_reward_014,3,4,-1,True,True
internlm2_7b_reward,gsm8k,gsm8k_internlm2_7b_reward_015,3,5,-2,True,True
internlm2_7b_reward,gsm8k,gsm8k_internlm2_7b_reward_016,2,3,-1,True,True
internlm2_7b_reward,gsm8k,gsm8k_internlm2_7b_reward_017,3,4,-1,True,True
internlm2_7b_reward,gsm8k,gsm8k_internlm2_7b_reward_018,4,6,-2,True,True
internlm2_7b_reward,gsm8k,gsm8k_internlm2_7b_reward_019,2,8,-6,True,True
internlm2_7b_reward,gsm8k,gsm8k_internlm2_7b_reward_020,2,3,-1,True,True
internlm2_7b_reward,gsm8k,gsm8k_internlm2_7b_reward_021,2,4,-2,True,True
internlm2_7b_reward,gsm8k,gsm8k_internlm2_7b_reward_022,4,11,-7,True,True
internlm2_7b_reward,gsm8k,gsm8k_internlm2_7b_reward_023,6,7,-1,True,True
internlm2_7b_reward,gsm8k,gsm8k_internlm2_7b_reward_024,2,6,-4,True,True
internlm2_7b_reward,gsm8k,gsm8k_internlm2_7b_reward_025,2,3,-1,True,True
internlm2_7b_reward,gsm8k,gsm8k_internlm2_7b_reward_026,2,3,-1,True,True
internlm2_7b_reward,gsm8k,gsm8k_internlm2_7b_reward_027,2,3,-1,True,True
internlm2_7b_reward,gsm8k,gsm8k_internlm2_7b_reward_028,2,5,-3,True,True
internlm2_7b_reward,gsm8k,gsm8k_internlm2_7b_reward_029,2,5,-3,True,True
internlm2_7b_reward,gsm8k,gsm8k_internlm2_7b_reward_030,3,10,-7,True,True
internlm2_7b_reward,gsm8k,gsm8k_internlm2_7b_reward_031,2,5,-3,True,True
internlm2_7b_reward,gsm8k,gsm8k_internlm2_7b_reward_032,2,3,-1,True,True
internlm2_7b_reward,gsm8k,gsm8k_internlm2_7b_reward_033,2,3,-1,True,True
