card_id,source_card_id,prm,benchmark,problem_id,ann_labels,gm_votes,product_votes,no_preference_votes,majority_label
0235b7e55b04,gsm8k_internlm2_7b_reward_047,internlm2_7b_reward,gsm8k,gsm8k_046,gm|no_preference|gm,2,0,1,gm
0242beca5c4e,math500_internlm2_7b_reward_011,internlm2_7b_reward,math500,math500_443,no_preference|no_preference|gm,1,0,2,no_preference
0267933b147e,gsm8k_skywork_prm_053,skywork_prm,gsm8k,gsm8k_069,no_preference|no_preference|no_preference,0,0,3,no_preference
02c10db40f20,math500_skywork_prm_010,skywork_prm,math500,math500_118,gm|no_preference|gm,2,0,1,gm
03884f35ee30,gsm8k_internlm2_7b_reward_088,internlm2_7b_reward,gsm8k,gsm8k_112,no_preference|no_preference|no_preference,0,0,3,no_preference
0430ab6d1ede,gsm8k_internlm2_7b_reward_069,internlm2_7b_reward,gsm8k,gsm8k_372,gm|no_preference|no_preference,1,0,2,no_preference
079e63f9072c,gsm8k_internlm2_7b_reward_046,internlm2_7b_reward,gsm8k,gsm8k_404,gm|no_preference|gm,2,0,1,gm
08ebc5bec50d,math500_skywork_prm_067,skywork_prm,math500,math500_368,no_preference|no_preference|product,0,1,2,no_preference
09430744a2de,gsm8k_skywork_prm_019,skywork_prm,gsm8k,gsm8k_111,gm|no_preference|gm,2,0,1,gm
09c62ddb64eb,gsm8k_internlm2_7b_reward_062,internlm2_7b_reward,gsm8k,gsm8k_334,no_preference|no_preference|no_preference,0,0,3,no_preference
0a4b06c33d43,math500_internlm2_7b_reward_064,internlm2_7b_reward,math500,math500_234,no_preference|no_preference|no_preference,0,0,3,no_preference
0a749f8f5420,math500_skywork_prm_013,skywork_prm,math500,math500_288,no_preference|no_preference|no_preference,0,0,3,no_preference
0cd074a1469f,gsm8k_skywork_prm_016,skywork_prm,gsm8k,gsm8k_459,gm|no_preference|gm,2,0,1,gm
0d1396a99aa8,gsm8k_skywork_prm_042,skywork_prm,gsm8k,gsm8k_027,no_preference|no_preference|no_preference,0,0,3,no_preference
0dc468dbb6aa,gsm8k_internlm2_7b_reward_043,internlm2_7b_reward,gsm8k,gsm8k_422,gm|gm|gm,3,0,0,gm
0e2966a96f8f,math500_skywork_prm_070,skywork_prm,math500,math500_379,no_preference|no_preference|gm,1,0,2,no_preference
145100c57385,math500_skywork_prm_052,skywork_prm,math500,math500_226,no_preference|no_preference|no_preference,0,0,3,no_preference
14db67a05b01,gsm8k_skywork_prm_038,skywork_prm,gsm8k,gsm8k_382,gm|no_preference|gm,2,0,1,gm
1629ea4fd800,math500_internlm2_7b_reward_060,internlm2_7b_reward,math500,math500_448,gm|gm|gm,3,0,0,gm
16fff55a12e8,gsm8k_skywork_prm_094,skywork_prm,gsm8k,gsm8k_254,gm|no_preference|gm,2,0,1,gm
18f14679ea50,gsm8k_skywork_prm_035,skywork_prm,gsm8k,gsm8k_473,gm|no_preference|gm,2,0,1,gm
18fd6f6487b9,gsm8k_skywork_prm_077,skywork_prm,gsm8k,gsm8k_247,no_preference|no_preference|no_preference,0,0,3,no_preference
195c8404266f,math500_internlm2_7b_reward_023,internlm2_7b_reward,math500,math500_243,gm|gm|gm,3,0,0,gm
1af976087535,gsm8k_internlm2_7b_reward_091,internlm2_7b_reward,gsm8k,gsm8k_477,no_preference|no_preference|no_preference,0,0,3,no_preference
1cf349eae04e,gsm8k_internlm2_7b_reward_006,internlm2_7b_reward,gsm8k,gsm8k_431,gm|no_preference|gm,2,0,1,gm
1e0765a6c0df,math500_skywork_prm_004,skywork_prm,math500,math500_262,gm|no_preference|gm,2,0,1,gm
204013c12887,math500_skywork_prm_058,skywork_prm,math500,math500_455,no_preference|no_preference|no_preference,0,0,3,no_preference
20da3912882e,gsm8k_skywork_prm_079,skywork_prm,gsm8k,gsm8k_204,no_preference|no_preference|gm,1,0,2,no_preference
22832fa842d3,gsm8k_skywork_prm_025,skywork_prm,gsm8k,gsm8k_361,gm|no_preference|gm,2,0,1,gm
23131037bb61,gsm8k_internlm2_7b_reward_039,internlm2_7b_reward,gsm8k,gsm8k_250,no_preference|no_preference|no_preference,0,0,3,no_preference
25364fa9fb91,math500_internlm2_7b_reward_024,internlm2_7b_reward,math500,math500_237,gm|gm|gm,3,0,0,gm
253a23c9c2bb,math500_skywork_prm_048,skywork_prm,math500,math500_399,gm|no_preference|gm,2,0,1,gm
25be542327ca,math500_skywork_prm_026,skywork_prm,math500,math500_370,gm|no_preference|gm,2,0,1,gm
