card_id,prm,benchmark,problem_id,annotator_1_raw,annotator_2_raw,annotator_3_raw,annotator_1_source,annotator_2_source,annotator_3_source,product_votes,native_votes,no_preference_votes,missing_or_other_votes,majority_vote
NP_0001,skywork_prm,gsm8k,gsm8k_442,No preference,No preference,No preference,no_preference,no_preference,no_preference,0,0,3,0,no_preference
NP_0002,skywork_prm,gsm8k,gsm8k_258,No preference,B,No preference,no_preference,native,no_preference,0,1,2,0,no_preference
NP_0003,skywork_prm,gsm8k,gsm8k_434,No preference,No preference,No preference,no_preference,no_preference,no_preference,0,0,3,0,no_preference
NP_0004,skywork_prm,gsm8k,gsm8k_039,No preference,No preference,No preference,no_preference,no_preference,no_preference,0,0,3,0,no_preference
NP_0005,skywork_prm,gsm8k,gsm8k_402,No preference,No preference,No preference,no_preference,no_preference,no_preference,0,0,3,0,no_preference
NP_0006,skywork_prm,gsm8k,gsm8k_121,No preference,No preference,No preference,no_preference,no_preference,no_preference,0,0,3,0,no_preference
NP_0007,skywork_prm,gsm8k,gsm8k_475,No preference,No preference,No preference,no_preference,no_preference,no_preference,0,0,3,0,no_preference
NP_0008,skywork_prm,gsm8k,gsm8k_394,No preference,No preference,No preference,no_preference,no_preference,no_preference,0,0,3,0,no_preference
NP_0009,skywork_prm,gsm8k,gsm8k_250,No preference,No preference,No preference,no_preference,no_preference,no_preference,0,0,3,0,no_preference
NP_0010,skywork_prm,gsm8k,gsm8k_327,No preference,No preference,No preference,no_preference,no_preference,no_preference,0,0,3,0,no_preference
NP_0011,skywork_prm,gsm8k,gsm8k_147,No preference,No preference,A,no_preference,no_preference,native,0,1,2,0,no_preference
NP_0012,skywork_prm,gsm8k,gsm8k_407,No preference,No preference,No preference,no_preference,no_preference,no_preference,0,0,3,0,no_preference
NP_0013,skywork_prm,gsm8k,gsm8k_130,No preference,No preference,No preference,no_preference,no_preference,no_preference,0,0,3,0,no_preference
NP_0014,skywork_prm,gsm8k,gsm8k_255,No preference,No preference,No preference,no_preference,no_preference,no_preference,0,0,3,0,no_preference
NP_0015,skywork_prm,gsm8k,gsm8k_239,No preference,No preference,No preference,no_preference,no_preference,no_preference,0,0,3,0,no_preference
NP_0016,skywork_prm,gsm8k,gsm8k_371,No preference,No preference,No preference,no_preference,no_preference,no_preference,0,0,3,0,no_preference
NP_0017,skywork_prm,gsm8k,gsm8k_452,No preference,No preference,No preference,no_preference,no_preference,no_preference,0,0,3,0,no_preference
NP_0018,skywork_prm,gsm8k,gsm8k_206,No preference,No preference,No preference,no_preference,no_preference,no_preference,0,0,3,0,no_preference
NP_0019,skywork_prm,gsm8k,gsm8k_108,No preference,No preference,B,no_preference,no_preference,product,1,0,2,0,no_preference
NP_0020,skywork_prm,gsm8k,gsm8k_007,No preference,No preference,No preference,no_preference,no_preference,no_preference,0,0,3,0,no_preference
NP_0021,skywork_prm,gsm8k,gsm8k_477,No preference,No preference,No preference,no_preference,no_preference,no_preference,0,0,3,0,no_preference
NP_0022,skywork_prm,gsm8k,gsm8k_445,No preference,No preference,No preference,no_preference,no_preference,no_preference,0,0,3,0,no_preference
NP_0023,skywork_prm,gsm8k,gsm8k_409,B,A,A,product,native,native,1,2,0,0,native
NP_0024,skywork_prm,gsm8k,gsm8k_309,No preference,No preference,No preference,no_preference,no_preference,no_preference,0,0,3,0,no_preference
NP_0025,skywork_prm,gsm8k,gsm8k_093,No preference,No preference,No preference,no_preference,no_preference,no_preference,0,0,3,0,no_preference
NP_0026,skywork_prm,gsm8k,gsm8k_202,No preference,No preference,No preference,no_preference,no_preference,no_preference,0,0,3,0,no_preference
NP_0027,skywork_prm,gsm8k,gsm8k_215,No preference,B,No preference,no_preference,product,no_preference,1,0,2,0,no_preference
NP_0028,skywork_prm,gsm8k,gsm8k_013,No preference,A,No preference,no_preference,product,no_preference,1,0,2,0,no_preference
NP_0029,skywork_prm,gsm8k,gsm8k_162,No preference,No preference,No preference,no_preference,no_preference,no_preference,0,0,3,0,no_preference
NP_0030,skywork_prm,gsm8k,gsm8k_118,No preference,No preference,No preference,no_preference,no_preference,no_preference,0,0,3,0,no_preference
NP_0031,skywork_prm,gsm8k,gsm8k_053,No preference,No preference,No preference,no_preference,no_preference,no_preference,0,0,3,0,no_preference
NP_0032,skywork_prm,gsm8k,gsm8k_055,No preference,No preference,No preference,no_preference,no_preference,no_preference,0,0,3,0,no_preference
NP_0033,skywork_prm,gsm8k,gsm8k_320,No preference,No preference,No preference,no_preference,no_preference,no_preference,0,0,3,0,no_preference
NP_0034,skywork_prm,gsm8k,gsm8k_213,No preference,No preference,No preference,no_preference,no_preference,no_preference,0,0,3,0,no_preference
NP_0035,skywork_prm,gsm8k,gsm8k_185,No preference,No preference,No preference,no_preference,no_preference,no_preference,0,0,3,0,no_preference
NP_0036,skywork_prm,gsm8k,gsm8k_499,No preference,A,No preference,no_preference,native,no_preference,0,1,2,0,no_preference
NP_0037,skywork_prm,gsm8k,gsm8k_461,No preference,No preference,No preference,no_preference,no_preference,no_preference,0,0,3,0,no_preference
NP_0038,skywork_prm,gsm8k,gsm8k_109,No preference,No preference,No preference,no_preference,no_preference,no_preference,0,0,3,0,no_preference
NP_0039,skywork_prm,gsm8k,gsm8k_437,No preference,No preference,No preference,no_preference,no_preference,no_preference,0,0,3,0,no_preference
NP_0040,skywork_prm,gsm8k,gsm8k_016,No preference,No preference,No preference,no_preference,no_preference,no_preference,0,0,3,0,no_preference
NP_0041,skywork_prm,gsm8k,gsm8k_160,No preference,No preference,No preference,no_preference,no_preference,no_preference,0,0,3,0,no_preference
NP_0042,skywork_prm,gsm8k,gsm8k_078,No preference,No preference,No preference,no_preference,no_preference,no_preference,0,0,3,0,no_preference
NP_0043,skywork_prm,gsm8k,gsm8k_022,No preference,No preference,No preference,no_preference,no_preference,no_preference,0,0,3,0,no_preference
NP_0044,skywork_prm,gsm8k,gsm8k_491,No preference,No preference,No preference,no_preference,no_preference,no_preference,0,0,3,0,no_preference
NP_0045,skywork_prm,gsm8k,gsm8k_008,No preference,No preference,No preference,no_preference,no_preference,no_preference,0,0,3,0,no_preference
NP_0046,skywork_prm,gsm8k,gsm8k_204,No preference,No preference,No preference,no_preference,no_preference,no_preference,0,0,3,0,no_preference
NP_0047,skywork_prm,gsm8k,gsm8k_354,No preference,No preference,No preference,no_preference,no_preference,no_preference,0,0,3,0,no_preference
NP_0048,skywork_prm,gsm8k,gsm8k_326,No preference,No preference,No preference,no_preference,no_preference,no_preference,0,0,3,0,no_preference
NP_0049,skywork_prm,gsm8k,gsm8k_006,No preference,No preference,No preference,no_preference,no_preference,no_preference,0,0,3,0,no_preference
NP_0050,skywork_prm,gsm8k,gsm8k_200,No preference,No preference,No preference,no_preference,no_preference,no_preference,0,0,3,0,no_preference
NP_0051,skywork_prm,gsm8k,gsm8k_084,No preference,No preference,No preference,no_preference,no_preference,no_preference,0,0,3,0,no_preference
NP_0052,skywork_prm,gsm8k,gsm8k_446,No preference,No preference,No preference,no_preference,no_preference,no_preference,0,0,3,0,no_preference
NP_0053,skywork_prm,gsm8k,gsm8k_129,No preference,No preference,No preference,no_preference,no_preference,no_preference,0,0,3,0,no_preference
