card_id,problem_id,benchmark,product_trace_id,mean_trace_id,annotator_1,annotator_2,annotator_3,majority_vote
SWM_001,gsm8k_002,gsm8k,16,19,arith_mean,product,arith_mean,arith_mean
SWM_002,gsm8k_013,gsm8k,24,3,product,arith_mean,arith_mean,arith_mean
SWM_003,gsm8k_016,gsm8k,24,14,arith_mean,arith_mean,arith_mean,arith_mean
SWM_004,gsm8k_024,gsm8k,17,15,product,product,product,product
SWM_005,gsm8k_030,gsm8k,2,12,product,product,arith_mean,product
SWM_006,gsm8k_031,gsm8k,5,28,arith_mean,arith_mean,arith_mean,arith_mean
SWM_007,gsm8k_057,gsm8k,11,18,arith_mean,product,product,product
SWM_008,gsm8k_059,gsm8k,9,6,product,product,product,product
SWM_009,gsm8k_060,gsm8k,26,3,arith_mean,arith_mean,arith_mean,arith_mean
SWM_010,gsm8k_064,gsm8k,26,6,product,product,product,product
SWM_011,gsm8k_070,gsm8k,30,11,product,arith_mean,arith_mean,arith_mean
SWM_012,gsm8k_082,gsm8k,3,10,arith_mean,arith_mean,arith_mean,arith_mean
SWM_013,gsm8k_099,gsm8k,22,24,product,product,product,product
SWM_014,gsm8k_106,gsm8k,4,12,product,product,product,product
SWM_015,gsm8k_114,gsm8k,26,18,product,product,product,product
SWM_016,gsm8k_118,gsm8k,10,31,product,product,arith_mean,product
SWM_017,gsm8k_147,gsm8k,8,23,arith_mean,arith_mean,arith_mean,arith_mean
SWM_018,gsm8k_149,gsm8k,23,4,arith_mean,product,arith_mean,arith_mean
SWM_019,gsm8k_167,gsm8k,29,18,product,product,product,product
SWM_020,gsm8k_171,gsm8k,22,27,arith_mean,product,arith_mean,arith_mean
SWM_021,gsm8k_175,gsm8k,2,10,product,product,product,product
SWM_022,gsm8k_177,gsm8k,11,18,arith_mean,arith_mean,arith_mean,arith_mean
SWM_023,gsm8k_184,gsm8k,26,11,product,arith_mean,product,product
SWM_024,gsm8k_204,gsm8k,9,12,arith_mean,arith_mean,arith_mean,arith_mean
SWM_025,gsm8k_207,gsm8k,0,4,product,product,product,product
SWM_026,gsm8k_210,gsm8k,4,24,product,product,product,product
SWM_027,gsm8k_252,gsm8k,24,14,arith_mean,arith_mean,arith_mean,arith_mean
SWM_028,gsm8k_256,gsm8k,12,25,arith_mean,product,product,product
SWM_029,gsm8k_258,gsm8k,31,0,product,product,product,product
SWM_030,gsm8k_269,gsm8k,2,29,product,arith_mean,arith_mean,arith_mean
SWM_031,gsm8k_280,gsm8k,20,3,arith_mean,arith_mean,arith_mean,arith_mean
SWM_032,gsm8k_313,gsm8k,6,30,arith_mean,product,product,product
SWM_033,gsm8k_314,gsm8k,6,8,arith_mean,product,product,product
