subset,gsm8k_n,math500_n,notes
total_strict_pairs,4074,11342,GSM8K uses v5_strict manifest; MATH500 uses full_allinc_bench manifest.
necessary_delete_pairs,2211,1435,Necessary deletion pairs only.
answer_preserved,2005,1435,Derived from answer text preserved rate in outputs/reports/validation/answer_preservation.md.
answer_preservation_rate,0.9068,1.0000,Answer text preserved after necessary deletion.
flip_eligible_product_min,414,339,Minimum n_eligible across 7 PRMs for product Flip@32.
flip_eligible_product_max,447,372,Maximum n_eligible across 7 PRMs for product Flip@32.
wrong_at_32,0,0,Max Wrong@32 across audited cells; all observed values are zero.
human_eval_skywork,100,73,Product-flip human-eval cards.
human_eval_internlm2,100,100,Product-flip human-eval cards.
human_eval_qwen,16,23,Product-flip human-eval cards.
both_correct_skywork,100,71,Both-correct human-eval subset.
both_correct_internlm2,98,96,Both-correct human-eval subset.
both_correct_qwen,16,22,Both-correct human-eval subset.
